IMPEDANCE MEASUREMENT 
11:11:40.908 AM 2026-02-19
Chamber temperature (K): 295.83
Chamber pressure (MPa): 1.24
Description: 	1.5MNaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 8.663198 	 2.708218 	
1 	 857765.625000 	 8.663902 	 1.806972 	
2 	 735703.125000 	 8.667778 	 0.966230 	
3 	 630984.375000 	 8.677294 	 0.158268 	
4 	 541171.875000 	 8.689755 	 -0.623780 	
5 	 464203.125000 	 8.707611 	 -1.377788 	
6 	 398109.375000 	 8.730595 	 -2.136415 	
7 	 341484.375000 	 8.759990 	 -2.931349 	
8 	 292921.875000 	 8.790386 	 -3.737849 	
9 	 251203.140625 	 8.830686 	 -4.579754 	
10 	 215484.375000 	 8.877810 	 -5.505628 	
11 	 184828.125000 	 8.933635 	 -6.446689 	
12 	 158578.125000 	 8.997890 	 -7.500242 	
13 	 135984.375000 	 9.078118 	 -8.622636 	
14 	 116671.867187 	 9.174129 	 -9.825223 	
15 	 100078.125000 	 9.282629 	 -11.126671 	
16 	 85828.125000 	 9.408724 	 -12.548334 	
17 	 73640.625000 	 9.558865 	 -14.075245 	
18 	 63140.625000 	 9.734863 	 -15.758344 	
19 	 54140.625000 	 9.937494 	 -17.553144 	
20 	 46453.125000 	 10.172632 	 -19.496729 	
21 	 39890.625000 	 10.453011 	 -21.575294 	
22 	 34171.875000 	 10.778378 	 -23.826765 	
23 	 29296.875000 	 11.164650 	 -26.233152 	
24 	 25171.875000 	 11.612395 	 -28.766064 	
25 	 21609.375000 	 12.146916 	 -31.460402 	
26 	 18515.625000 	 12.787872 	 -34.273945 	
27 	 15890.625000 	 13.535673 	 -37.166443 	
28 	 13640.625000 	 14.429495 	 -40.137157 	
29 	 11671.875000 	 15.507264 	 -43.187374 	
30 	 10078.125000 	 16.706245 	 -46.022022 	
31 	 8578.125000 	 18.258986 	 -49.080261 	
32 	 7359.375488 	 20.002327 	 -51.914593 	
33 	 6328.125000 	 22.028868 	 -54.552292 	
34 	 5376.838379 	 24.567261 	 -57.270329 	
35 	 4641.543945 	 27.261963 	 -59.522575 	
36 	 3984.374756 	 30.485413 	 -61.703487 	
37 	 3421.875000 	 34.223110 	 -63.680984 	
38 	 2953.125000 	 38.377129 	 -65.429642 	
39 	 2527.573486 	 43.437996 	 -67.086838 	
40 	 2159.926514 	 49.321316 	 -68.572144 	
41 	 1847.956665 	 56.147236 	 -69.932869 	
42 	 1577.524048 	 64.043396 	 -71.107208 	
43 	 1359.375000 	 72.574394 	 -72.106262 	
44 	 1171.875000 	 82.382057 	 -72.990135 	
45 	 998.263855 	 94.478142 	 -73.828293 	
46 	 856.370239 	 107.836525 	 -74.546463 	
47 	 737.847229 	 122.584839 	 -75.223541 	
48 	 627.790161 	 141.110367 	 -75.751755 	
49 	 544.084778 	 159.851974 	 -76.202477 	
50 	 460.379456 	 184.793060 	 -76.595467 	
51 	 397.995270 	 209.872101 	 -76.921295 	
52 	 340.221771 	 240.783997 	 -77.226341 	
53 	 292.968750 	 274.511719 	 -77.474724 	
54 	 252.403839 	 312.854309 	 -77.652565 	
55 	 217.013885 	 357.203400 	 -77.835709 	
56 	 186.011902 	 408.993683 	 -77.981430 	
57 	 158.361496 	 471.085266 	 -78.098419 	
58 	 135.216339 	 541.259583 	 -78.183731 	
59 	 117.187500 	 613.631897 	 -78.241058 	
