IMPEDANCE MEASUREMENT 
10:14:56.020 AM 2026-02-19
Chamber temperature (K): 295.86
Chamber pressure (MPa): 1.46
Description: 	15mS
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 70.780533 	 -0.215782 	
1 	 857765.625000 	 70.812721 	 -0.298749 	
2 	 735703.125000 	 70.856819 	 -0.377059 	
3 	 630984.375000 	 70.913414 	 -0.449629 	
4 	 541171.875000 	 70.941933 	 -0.542481 	
5 	 464203.125000 	 70.978973 	 -0.634882 	
6 	 398109.375000 	 71.028656 	 -0.747292 	
7 	 341484.375000 	 71.099586 	 -0.851580 	
8 	 292921.875000 	 71.148018 	 -0.984797 	
9 	 251203.140625 	 71.206123 	 -1.130885 	
10 	 215484.375000 	 71.249886 	 -1.277341 	
11 	 184828.125000 	 71.324013 	 -1.439096 	
12 	 158578.125000 	 71.425369 	 -1.639291 	
13 	 135984.375000 	 71.506187 	 -1.867956 	
14 	 116671.867187 	 71.618530 	 -2.127589 	
15 	 100078.125000 	 71.734962 	 -2.393196 	
16 	 85828.125000 	 71.870117 	 -2.723951 	
17 	 73640.625000 	 72.018951 	 -3.092040 	
18 	 63140.625000 	 72.212158 	 -3.500668 	
19 	 54140.625000 	 72.416809 	 -3.968078 	
20 	 46453.125000 	 72.677620 	 -4.478476 	
21 	 39890.625000 	 72.984146 	 -5.075022 	
22 	 34171.875000 	 73.320976 	 -5.749239 	
23 	 29296.875000 	 73.742226 	 -6.479283 	
24 	 25171.875000 	 74.224617 	 -7.289171 	
25 	 21609.375000 	 74.798355 	 -8.189904 	
26 	 18515.625000 	 75.484108 	 -9.206352 	
27 	 15890.625000 	 76.265526 	 -10.304341 	
28 	 13640.625000 	 77.180458 	 -11.516107 	
29 	 11671.875000 	 78.281364 	 -12.876509 	
30 	 10078.125000 	 79.496208 	 -14.262022 	
31 	 8578.125000 	 81.034409 	 -15.934971 	
32 	 7359.375488 	 82.735252 	 -17.646927 	
33 	 6328.125000 	 84.695839 	 -19.497639 	
34 	 5376.838379 	 87.207870 	 -21.627682 	
35 	 4641.543945 	 89.809372 	 -23.707052 	
36 	 3984.374756 	 92.983994 	 -26.012260 	
37 	 3421.875000 	 96.714897 	 -28.455181 	
38 	 2953.125000 	 100.947578 	 -30.944084 	
39 	 2527.573486 	 106.216339 	 -33.690426 	
40 	 2159.926514 	 112.502899 	 -36.562733 	
41 	 1847.956665 	 119.945633 	 -39.484013 	
42 	 1577.524048 	 128.856613 	 -42.490261 	
43 	 1359.375000 	 138.824463 	 -45.310833 	
44 	 1171.875000 	 150.424561 	 -48.041451 	
45 	 998.263855 	 165.067734 	 -50.919716 	
46 	 856.370239 	 181.510849 	 -53.575920 	
47 	 737.847229 	 200.224396 	 -55.999260 	
48 	 627.790161 	 223.914566 	 -58.478966 	
49 	 544.084778 	 247.996399 	 -60.501438 	
50 	 460.379456 	 280.936462 	 -62.657482 	
51 	 397.995270 	 314.074615 	 -64.323120 	
52 	 340.221771 	 355.177856 	 -65.998032 	
53 	 292.968750 	 400.256897 	 -67.439072 	
54 	 252.403839 	 451.808777 	 -68.726974 	
55 	 217.013885 	 511.597900 	 -69.889664 	
56 	 186.011902 	 581.564575 	 -70.937965 	
57 	 158.361496 	 665.726074 	 -71.897217 	
58 	 135.216339 	 760.901123 	 -72.713081 	
59 	 117.187500 	 859.446045 	 -73.359825 	
