IMPEDANCE MEASUREMENT 
10:50:19.248 AM 2026-02-19
Chamber temperature (K): 295.79
Chamber pressure (MPa): 0.85
Description: 	1MNaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 102109.609375 	 -94.503456 	
1 	 857765.625000 	 120906.906250 	 -91.361946 	
2 	 735703.125000 	 136416.687500 	 -90.338264 	
3 	 630984.375000 	 161485.468750 	 -90.979118 	
4 	 541171.875000 	 186252.390625 	 -89.085495 	
5 	 464203.125000 	 214766.078125 	 -90.236694 	
6 	 398109.375000 	 251684.718750 	 -89.914772 	
7 	 341484.375000 	 290087.125000 	 -89.302780 	
8 	 292921.875000 	 330503.812500 	 -88.578766 	
9 	 251203.140625 	 396840.250000 	 -88.168907 	
10 	 215484.375000 	 453357.843750 	 -89.303970 	
11 	 184828.125000 	 547631.562500 	 -87.684853 	
12 	 158578.125000 	 598314.187500 	 -88.164719 	
13 	 135984.375000 	 712734.562500 	 -89.337372 	
