IMPEDANCE MEASUREMENT 
10:56:23.470 AM 2026-02-19
Chamber temperature (K): 295.8
Chamber pressure (MPa): 0.05
Description: 	1MNaClLeads1and3
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 115206.835937 	 -95.104897 	
1 	 857765.625000 	 135301.953125 	 -92.201431 	
2 	 735703.125000 	 149060.265625 	 -91.046928 	
3 	 630984.375000 	 177266.968750 	 -90.528236 	
4 	 541171.875000 	 206128.484375 	 -89.784149 	
5 	 464203.125000 	 233958.578125 	 -90.435898 	
6 	 398109.375000 	 275664.937500 	 -90.233757 	
7 	 341484.375000 	 318157.875000 	 -90.176842 	
8 	 292921.875000 	 382463.281250 	 -88.613647 	
9 	 251203.140625 	 435262.187500 	 -89.724747 	
10 	 215484.375000 	 475886.781250 	 -89.222359 	
11 	 184828.125000 	 565302.750000 	 -89.782608 	
12 	 158578.125000 	 693267.562500 	 -91.474777 	
13 	 135984.375000 	 843807.625000 	 -94.548820 	
14 	 116671.867187 	 943280.250000 	 -89.134415 	
15 	 100078.125000 	 1054766.875000 	 -87.827660 	
16 	 85828.125000 	 1239641.375000 	 -87.472893 	
17 	 73640.625000 	 1461666.500000 	 -86.475433 	
18 	 63140.625000 	 1633540.500000 	 -88.078415 	
19 	 54140.625000 	 1958411.500000 	 -90.909538 	
20 	 46453.125000 	 2290007.250000 	 -89.534866 	
21 	 39890.625000 	 2690005.000000 	 -87.178993 	
22 	 34171.875000 	 2887949.000000 	 -88.140411 	
23 	 29296.875000 	 3481664.500000 	 -86.923378 	
24 	 25171.875000 	 3997845.250000 	 -88.833527 	
25 	 21609.375000 	 4762394.500000 	 -87.060333 	
26 	 18515.625000 	 5442915.000000 	 -89.340569 	
27 	 15890.625000 	 6235723.500000 	 -88.158852 	
28 	 13640.625000 	 8250394.500000 	 -86.734955 	
29 	 11671.875000 	 9053944.000000 	 -91.824631 	
30 	 10078.125000 	 11249812.000000 	 -90.803528 	
31 	 8578.125000 	 11293200.000000 	 -94.425880 	
32 	 7359.375488 	 11700416.000000 	 -84.530815 	
33 	 6328.125000 	 14641006.000000 	 -88.588455 	
34 	 5376.838379 	 19838582.000000 	 -95.175095 	
35 	 4641.543945 	 19067054.000000 	 -83.986740 	
36 	 3984.374756 	 32803780.000000 	 -88.114632 	
37 	 3421.875000 	 25442032.000000 	 -103.460609 	
38 	 2953.125000 	 30993174.000000 	 -102.637558 	
39 	 2527.573486 	 32051244.000000 	 -75.937889 	
40 	 2159.926514 	 23385214.000000 	 -82.449409 	
41 	 1847.956665 	 15345769.000000 	 -81.137833 	
42 	 1577.524048 	 53512960.000000 	 -104.313515 	
43 	 1359.375000 	 94810512.000000 	 -89.233414 	
44 	 1171.875000 	 24701426.000000 	 -56.280853 	
45 	 998.263855 	 50012516.000000 	 -35.626431 	
46 	 856.370239 	 61919152.000000 	 167.683472 	
47 	 737.847229 	 29969720.000000 	 -139.738892 	
48 	 627.790161 	 65867020.000000 	 136.270706 	
49 	 544.084778 	 1118121600.000000 	 -163.335785 	
50 	 460.379456 	 240283616.000000 	 -93.704269 	
51 	 397.995270 	 242748112.000000 	 -91.021767 	
52 	 340.221771 	 323828000.000000 	 -87.956894 	
53 	 292.968750 	 449617088.000000 	 -109.201347 	
54 	 252.403839 	 373411488.000000 	 -88.865273 	
55 	 217.013885 	 642399168.000000 	 -92.127403 	
56 	 186.011902 	 526760096.000000 	 -89.085106 	
57 	 158.361496 	 640735232.000000 	 -91.765678 	
58 	 135.216339 	 671793280.000000 	 -101.495346 	
59 	 117.187500 	 1139418752.000000 	 -61.877762 	
