IMPEDANCE MEASUREMENT 
11:05:02.253 AM 2026-02-19
Chamber temperature (K): 295.82
Chamber pressure (MPa): 1.34
Description: 	1MNaClRedo
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 12.068911 	 1.956898 	
1 	 857765.625000 	 12.070662 	 1.284683 	
2 	 735703.125000 	 12.079852 	 0.639356 	
3 	 630984.375000 	 12.087139 	 0.043561 	
4 	 541171.875000 	 12.104001 	 -0.537609 	
5 	 464203.125000 	 12.123618 	 -1.139778 	
6 	 398109.375000 	 12.145805 	 -1.715741 	
7 	 341484.375000 	 12.178125 	 -2.314048 	
8 	 292921.875000 	 12.208357 	 -2.937577 	
9 	 251203.140625 	 12.251932 	 -3.601193 	
10 	 215484.375000 	 12.302868 	 -4.305529 	
11 	 184828.125000 	 12.360300 	 -5.070622 	
12 	 158578.125000 	 12.424906 	 -5.879653 	
13 	 135984.375000 	 12.507549 	 -6.776649 	
14 	 116671.867187 	 12.602185 	 -7.740775 	
15 	 100078.125000 	 12.713684 	 -8.788973 	
16 	 85828.125000 	 12.842798 	 -9.936033 	
17 	 73640.625000 	 12.992825 	 -11.182593 	
18 	 63140.625000 	 13.169347 	 -12.551561 	
19 	 54140.625000 	 13.377420 	 -14.048193 	
20 	 46453.125000 	 13.622489 	 -15.655574 	
21 	 39890.625000 	 13.900543 	 -17.401085 	
22 	 34171.875000 	 14.231083 	 -19.304827 	
23 	 29296.875000 	 14.614507 	 -21.349241 	
24 	 25171.875000 	 15.056379 	 -23.523481 	
25 	 21609.375000 	 15.577928 	 -25.864901 	
26 	 18515.625000 	 16.200205 	 -28.385187 	
27 	 15890.625000 	 16.929825 	 -31.052895 	
28 	 13640.625000 	 17.792597 	 -33.804359 	
29 	 11671.875000 	 18.833693 	 -36.738506 	
30 	 10078.125000 	 20.001144 	 -39.563622 	
31 	 8578.125000 	 21.520372 	 -42.713661 	
32 	 7359.375488 	 23.228708 	 -45.702896 	
33 	 6328.125000 	 25.229065 	 -48.573620 	
34 	 5376.838379 	 27.772432 	 -51.598804 	
35 	 4641.543945 	 30.486578 	 -54.212639 	
36 	 3984.374756 	 33.742287 	 -56.784927 	
37 	 3421.875000 	 37.553497 	 -59.131866 	
38 	 2953.125000 	 41.806961 	 -61.277405 	
39 	 2527.573486 	 47.011276 	 -63.335861 	
40 	 2159.926514 	 53.119057 	 -65.233810 	
41 	 1847.956665 	 60.119205 	 -66.930916 	
42 	 1577.524048 	 68.340385 	 -68.446762 	
43 	 1359.375000 	 77.255882 	 -69.734276 	
44 	 1171.875000 	 87.427086 	 -70.847038 	
45 	 998.263855 	 100.102051 	 -71.970490 	
46 	 856.370239 	 113.981949 	 -72.876999 	
47 	 737.847229 	 129.645676 	 -73.637177 	
48 	 627.790161 	 148.784027 	 -74.342781 	
49 	 544.084778 	 168.419647 	 -75.006683 	
50 	 460.379456 	 194.582672 	 -75.508667 	
51 	 397.995270 	 220.836014 	 -75.937149 	
52 	 340.221771 	 253.169647 	 -76.340256 	
53 	 292.968750 	 288.463684 	 -76.665962 	
54 	 252.403839 	 328.543854 	 -76.908890 	
55 	 217.013885 	 374.913361 	 -77.142250 	
56 	 186.011902 	 429.027893 	 -77.341568 	
57 	 158.361496 	 493.879303 	 -77.506912 	
58 	 135.216339 	 567.080933 	 -77.629517 	
59 	 117.187500 	 642.673340 	 -77.713928 	
