IMPEDANCE MEASUREMENT 
10:25:35.528 AM 2026-02-19
Chamber temperature (K): 295.88
Chamber pressure (MPa): 1.16
Description: 	2764uS
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 372.384766 	 -1.102358 	
1 	 857765.625000 	 372.507080 	 -0.985526 	
2 	 735703.125000 	 372.767670 	 -0.883148 	
3 	 630984.375000 	 372.893402 	 -0.815895 	
4 	 541171.875000 	 372.978821 	 -0.713708 	
5 	 464203.125000 	 372.939240 	 -0.248684 	
6 	 398109.375000 	 373.118347 	 -0.279696 	
7 	 341484.375000 	 373.378143 	 -0.317836 	
8 	 292921.875000 	 373.488159 	 -0.345035 	
9 	 251203.140625 	 373.722534 	 -0.363175 	
10 	 215484.375000 	 373.744873 	 -0.382109 	
11 	 184828.125000 	 373.861389 	 -0.416078 	
12 	 158578.125000 	 374.064819 	 -0.465344 	
13 	 135984.375000 	 374.105377 	 -0.493763 	
14 	 116671.867187 	 374.253235 	 -0.549993 	
15 	 100078.125000 	 374.422668 	 -0.592474 	
16 	 85828.125000 	 374.595978 	 -0.666988 	
17 	 73640.625000 	 374.775818 	 -0.732852 	
18 	 63140.625000 	 375.023376 	 -0.833301 	
19 	 54140.625000 	 375.251892 	 -0.925467 	
20 	 46453.125000 	 375.535767 	 -1.026770 	
21 	 39890.625000 	 375.816132 	 -1.139675 	
22 	 34171.875000 	 376.199219 	 -1.286010 	
23 	 29296.875000 	 376.617859 	 -1.434961 	
24 	 25171.875000 	 376.966064 	 -1.617340 	
25 	 21609.375000 	 377.493591 	 -1.825764 	
26 	 18515.625000 	 378.056030 	 -2.046136 	
27 	 15890.625000 	 378.685303 	 -2.305561 	
28 	 13640.625000 	 379.395233 	 -2.606925 	
29 	 11671.875000 	 380.145264 	 -2.937527 	
30 	 10078.125000 	 381.012848 	 -3.289935 	
31 	 8578.125000 	 382.056580 	 -3.730447 	
32 	 7359.375488 	 383.317230 	 -4.217286 	
33 	 6328.125000 	 384.768097 	 -4.737604 	
34 	 5376.838379 	 386.520752 	 -5.380482 	
35 	 4641.543945 	 388.416138 	 -6.042127 	
36 	 3984.374756 	 390.641510 	 -6.786646 	
37 	 3421.875000 	 393.344238 	 -7.622009 	
38 	 2953.125000 	 396.174347 	 -8.525272 	
39 	 2527.573486 	 399.942902 	 -9.576058 	
40 	 2159.926514 	 404.347168 	 -10.755198 	
41 	 1847.956665 	 409.318817 	 -12.045278 	
42 	 1577.524048 	 415.421570 	 -13.502584 	
43 	 1359.375000 	 422.095001 	 -14.996918 	
44 	 1171.875000 	 429.698425 	 -16.622190 	
45 	 998.263855 	 439.513428 	 -18.536415 	
46 	 856.370239 	 450.628052 	 -20.538292 	
47 	 737.847229 	 463.275177 	 -22.632092 	
48 	 627.790161 	 479.299072 	 -25.092024 	
49 	 544.084778 	 496.285004 	 -27.399248 	
50 	 460.379456 	 519.790100 	 -30.242420 	
51 	 397.995270 	 544.227966 	 -32.870674 	
52 	 340.221771 	 575.516541 	 -35.811447 	
53 	 292.968750 	 611.007385 	 -38.683624 	
54 	 252.403839 	 652.744812 	 -41.571720 	
55 	 217.013885 	 702.739685 	 -44.487915 	
56 	 186.011902 	 763.020142 	 -47.415867 	
57 	 158.361496 	 837.345520 	 -50.368977 	
58 	 135.216339 	 923.393982 	 -53.128887 	
59 	 117.187500 	 1014.165588 	 -55.489761 	
