IMPEDANCE MEASUREMENT 
11:20:12.889 AM 2026-02-19
Chamber temperature (K): 295.85
Chamber pressure (MPa): 0.09
Description: 	2MNaCl
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 7.136787 	 3.551045 	
1 	 857765.625000 	 7.132541 	 2.437103 	
2 	 735703.125000 	 7.134958 	 1.435032 	
3 	 630984.375000 	 7.139713 	 0.446295 	
4 	 541171.875000 	 7.153915 	 -0.478366 	
5 	 464203.125000 	 7.171085 	 -1.382457 	
6 	 398109.375000 	 7.191720 	 -2.299795 	
7 	 341484.375000 	 7.216749 	 -3.240935 	
8 	 292921.875000 	 7.251308 	 -4.184638 	
9 	 251203.140625 	 7.289929 	 -5.185150 	
10 	 215484.375000 	 7.337961 	 -6.232122 	
11 	 184828.125000 	 7.393237 	 -7.346349 	
12 	 158578.125000 	 7.459589 	 -8.533042 	
13 	 135984.375000 	 7.536622 	 -9.817560 	
14 	 116671.867187 	 7.629450 	 -11.177792 	
15 	 100078.125000 	 7.738068 	 -12.646136 	
16 	 85828.125000 	 7.863835 	 -14.248424 	
17 	 73640.625000 	 8.010502 	 -15.971662 	
18 	 63140.625000 	 8.184402 	 -17.814030 	
19 	 54140.625000 	 8.385972 	 -19.816799 	
20 	 46453.125000 	 8.622070 	 -21.957628 	
21 	 39890.625000 	 8.896574 	 -24.244684 	
22 	 34171.875000 	 9.224178 	 -26.719858 	
23 	 29296.875000 	 9.615479 	 -29.323874 	
24 	 25171.875000 	 10.062919 	 -32.024075 	
25 	 21609.375000 	 10.599055 	 -34.870152 	
26 	 18515.625000 	 11.247463 	 -37.833378 	
27 	 15890.625000 	 12.010574 	 -40.807781 	
28 	 13640.625000 	 12.910807 	 -43.797714 	
29 	 11671.875000 	 13.994669 	 -46.820610 	
30 	 10078.125000 	 15.197968 	 -49.613594 	
31 	 8578.125000 	 16.753441 	 -52.548054 	
32 	 7359.375488 	 18.503759 	 -55.208702 	
33 	 6328.125000 	 20.501980 	 -57.669815 	
34 	 5376.838379 	 23.021132 	 -60.150791 	
35 	 4641.543945 	 25.673380 	 -62.174557 	
36 	 3984.374756 	 28.828304 	 -64.148163 	
37 	 3421.875000 	 32.494587 	 -65.893639 	
38 	 2953.125000 	 36.555202 	 -67.437492 	
39 	 2527.573486 	 41.492771 	 -68.891159 	
40 	 2159.926514 	 47.253803 	 -70.201431 	
41 	 1847.956665 	 53.846886 	 -71.365906 	
42 	 1577.524048 	 61.553028 	 -72.425491 	
43 	 1359.375000 	 69.816864 	 -73.274605 	
44 	 1171.875000 	 79.389023 	 -74.044678 	
45 	 998.263855 	 91.115875 	 -74.725037 	
46 	 856.370239 	 104.063087 	 -75.383469 	
47 	 737.847229 	 118.314339 	 -75.837364 	
48 	 627.790161 	 136.333908 	 -76.322884 	
49 	 544.084778 	 154.388977 	 -76.673241 	
50 	 460.379456 	 178.763062 	 -77.101334 	
51 	 397.995270 	 203.133499 	 -77.380516 	
52 	 340.221771 	 233.141541 	 -77.633286 	
53 	 292.968750 	 265.922668 	 -77.838394 	
54 	 252.403839 	 303.144775 	 -78.002007 	
55 	 217.013885 	 346.231171 	 -78.115242 	
56 	 186.011902 	 396.469299 	 -78.224236 	
57 	 158.361496 	 456.788055 	 -78.310844 	
58 	 135.216339 	 524.770203 	 -78.371880 	
59 	 117.187500 	 594.974121 	 -78.398613 	
