IMPEDANCE MEASUREMENT 
10:00:16.689 AM 2026-02-19
Chamber temperature (K): 295.87
Chamber pressure (MPa): -0.13
Description: 	Default
Driving voltage (V): 0.01
Start freq (Hz): 1E+6
Stop freq (Hz): 1E+2
# freq steps: 60
Index #	Frequency (Hz)	Impedance (ohms)	Phase (degrees)
0 	 1000078.125000 	 14.008677 	 1.214092 	
1 	 857765.625000 	 14.013738 	 0.598245 	
2 	 735703.125000 	 14.025037 	 0.004091 	
3 	 630984.375000 	 14.039929 	 -0.550094 	
4 	 541171.875000 	 14.056669 	 -1.111864 	
5 	 464203.125000 	 14.082816 	 -1.675871 	
6 	 398109.375000 	 14.107270 	 -2.284453 	
7 	 341484.375000 	 14.141794 	 -2.886384 	
8 	 292921.875000 	 14.185923 	 -3.539349 	
9 	 251203.140625 	 14.236348 	 -4.256424 	
10 	 215484.375000 	 14.297728 	 -5.016595 	
11 	 184828.125000 	 14.370922 	 -5.841432 	
12 	 158578.125000 	 14.452851 	 -6.764294 	
13 	 135984.375000 	 14.558296 	 -7.760093 	
14 	 116671.867187 	 14.680145 	 -8.842472 	
15 	 100078.125000 	 14.829427 	 -10.038317 	
16 	 85828.125000 	 15.004402 	 -11.340396 	
17 	 73640.625000 	 15.209036 	 -12.773353 	
18 	 63140.625000 	 15.451763 	 -14.342061 	
19 	 54140.625000 	 15.740892 	 -16.042398 	
20 	 46453.125000 	 16.076004 	 -17.860134 	
21 	 39890.625000 	 16.471170 	 -19.824581 	
22 	 34171.875000 	 16.945791 	 -21.950714 	
23 	 29296.875000 	 17.496889 	 -24.225037 	
24 	 25171.875000 	 18.137705 	 -26.605291 	
25 	 21609.375000 	 18.899633 	 -29.128311 	
26 	 18515.625000 	 19.805372 	 -31.820137 	
27 	 15890.625000 	 20.872597 	 -34.572060 	
28 	 13640.625000 	 22.133368 	 -37.410900 	
29 	 11671.875000 	 23.653444 	 -40.312366 	
30 	 10078.125000 	 25.330053 	 -43.100559 	
31 	 8578.125000 	 27.511393 	 -46.077171 	
32 	 7359.375488 	 29.956860 	 -48.886814 	
33 	 6328.125000 	 32.772903 	 -51.527084 	
34 	 5376.838379 	 36.317581 	 -54.217819 	
35 	 4641.543945 	 40.067719 	 -56.497807 	
36 	 3984.374756 	 44.557491 	 -58.698570 	
37 	 3421.875000 	 49.702164 	 -60.769234 	
38 	 2953.125000 	 55.483284 	 -62.567436 	
39 	 2527.573486 	 62.479424 	 -64.316643 	
40 	 2159.926514 	 70.598984 	 -65.904823 	
41 	 1847.956665 	 79.911247 	 -67.355370 	
42 	 1577.524048 	 90.802864 	 -68.627060 	
43 	 1359.375000 	 102.452003 	 -69.683144 	
44 	 1171.875000 	 115.847176 	 -70.684509 	
45 	 998.263855 	 132.361771 	 -71.648949 	
46 	 856.370239 	 150.598755 	 -72.393044 	
47 	 737.847229 	 170.817947 	 -73.057602 	
48 	 627.790161 	 195.483063 	 -73.716743 	
49 	 544.084778 	 221.009155 	 -74.202934 	
50 	 460.379456 	 254.741318 	 -74.747231 	
51 	 397.995270 	 288.566986 	 -75.150230 	
52 	 340.221771 	 330.123077 	 -75.487122 	
53 	 292.968750 	 375.437683 	 -75.806313 	
54 	 252.403839 	 426.854584 	 -76.082840 	
55 	 217.013885 	 486.317017 	 -76.326370 	
56 	 186.011902 	 555.582764 	 -76.537361 	
57 	 158.361496 	 638.611633 	 -76.713669 	
58 	 135.216339 	 732.138672 	 -76.852440 	
59 	 117.187500 	 828.734619 	 -76.947098 	
